;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02
22;22.0;@cursedkidd Yaudah aku ganti. Kenapa sih kamu tuh sempurna, tapi kok cuma ada sin^2 30 + cos^2 30?;cursedkidd yaudah aku ganti kenapa sih kamu tuh sempurna tapi kok cuma ada sin   cos  ;['cursedkidd', 'yaudah', 'aku', 'ganti', 'kenapa', 'sih', 'kamu', 'tuh', 'sempurna', 'tapi', 'kok', 'cuma', 'ada', 'sin', 'cos'];['cursedkidd', 'yaudah', 'aku', 'ganti', 'kenapa', 'sih', 'kamu', 'tuh', 'sempurna', 'tapi', 'kok', 'cuma', 'ada', 'sin', 'cos'];cursedkidd yaudah aku ganti kenapa sih kamu tuh sempurna tapi kok cuma ada sin cos
23;23.0;me to jennie blackpink: https://t.co/VXyYnUUh19;me to jennie blackpink co;['me', 'to', 'jennie', 'blackpink', 'co'];['me', 'to', 'jennie', 'blackpink', 'co'];me to jennie blackpink co
24;24.0;Kenapa si kamu tuh sempurna, tapi cuma ada 1? Kalo ada banyak kan aku bisa kebagian wokwokwokwo;kenapa si kamu tuh sempurna tapi cuma ada   kalo ada banyak kan aku bisa kebagian wokwokwokwo;['kenapa', 'si', 'kamu', 'tuh', 'sempurna', 'tapi', 'cuma', 'ada', 'kalo', 'ada', 'banyak', 'kan', 'aku', 'bisa', 'kebagian', 'wokwokwokwo'];['kenapa', 'si', 'kamu', 'tuh', 'sempurna', 'tapi', 'cuma', 'ada', 'kalo', 'ada', 'banyak', 'kan', 'aku', 'bisa', 'kebagian', 'wokwokwokwo'];kenapa si kamu tuh sempurna tapi cuma ada kalo ada banyak kan aku bisa kebagian wokwokwokwo
25;25.0;udah tau suka sama orang yang salah, eh tetep aja dilanjutin;udah tau suka sama orang yang salah eh tetep aja dilanjutin;['udah', 'tau', 'suka', 'sama', 'orang', 'yang', 'salah', 'eh', 'tetep', 'aja', 'dilanjutin'];['udah', 'tau', 'suka', 'sama', 'orang', 'yang', 'salah', 'eh', 'tetep', 'aja', 'dilanjutin'];udah tau suka sama orang yang salah eh tetep aja dilanjutin
26;26.0;JANGAN LUPA SEMANGAT;jangan lupa semangat;['jangan', 'lupa', 'semangat'];['jangan', 'lupa', 'semangat'];jangan lupa semangat
27;27.0;Kemarin pertama kali nonton stand up comedy secara live, diundang sama bang Raditya Dika. Pecah banget parah seru b… https://t.co/yJQeHUaCoR;kemarin pertama kali nonton stand up comedy secara live diundang sama bang raditya dika pecah banget parah seru coyjqehuacor;['kemarin', 'pertama', 'kali', 'nonton', 'stand', 'up', 'comedy', 'secara', 'live', 'diundang', 'sama', 'bang', 'raditya', 'dika', 'pecah', 'banget', 'parah', 'seru', 'coyjqehuacor'];['kemarin', 'pertama', 'kali', 'nonton', 'stand', 'up', 'comedy', 'secara', 'live', 'diundang', 'sama', 'bang', 'raditya', 'dika', 'pecah', 'banget', 'parah', 'seru', 'coyjqehuacor'];kemarin pertama kali nonton stand up comedy secara live diundang sama bang raditya dika pecah banget parah seru coyjqehuacor
28;28.0;RT @tokomenantea: Setiap hari Senin-Rabu, akan selalu ada promo spesial buat kalian yang belum dapet 'kepastian'🥰 https://t.co/bnyUhKjYDH;tokomenantea setiap hari senin rabu akan selalu ada promo spesial buat kalian yang belum dapet kepastian cobnyuhkjydh;['tokomenantea', 'setiap', 'hari', 'senin', 'rabu', 'akan', 'selalu', 'ada', 'promo', 'spesial', 'buat', 'kalian', 'yang', 'belum', 'dapet', 'kepastian', 'cobnyuhkjydh'];['tokomenantea', 'setiap', 'hari', 'senin', 'rabu', 'akan', 'selalu', 'ada', 'promo', 'spesial', 'buat', 'kalian', 'yang', 'belum', 'dapet', 'kepastian', 'cobnyuhkjydh'];tokomenantea setiap hari senin rabu akan selalu ada promo spesial buat kalian yang belum dapet kepastian cobnyuhkjydh
29;29.0;Jerome for Blue Carpet premiere The Rings of Power di Singapore~ https://t.co/WPSiUPwUWi;jerome for blue carpet premiere the rings of power di singapore cowpsiupwuwi;['jerome', 'for', 'blue', 'carpet', 'premiere', 'the', 'rings', 'of', 'power', 'di', 'singapore', 'cowpsiupwuwi'];['jerome', 'for', 'blue', 'carpet', 'premiere', 'the', 'rings', 'of', 'power', 'di', 'singapore', 'cowpsiupwuwi'];jerome for blue carpet premiere the rings of power di singapore cowpsiupwuwi
30;30.0;kembar https://t.co/OBWh52BSUN;kembar coobwhbsun;['kembar', 'coobwhbsun'];['kembar', 'coobwhbsun'];kembar coobwhbsun
31;31.0;Gak harus buru-buru kok. Take your time.;gak harus buru buru kok take your time;['gak', 'harus', 'buru', 'buru', 'kok', 'take', 'your', 'time'];['gak', 'harus', 'buru', 'buru', 'kok', 'take', 'your', 'time'];gak harus buru buru kok take your time
32;32.0;Semangat hari ini!!!! Jangan lupa bahagia!;semangat hari ini jangan lupa bahagia;['semangat', 'hari', 'ini', 'jangan', 'lupa', 'bahagia'];['semangat', 'hari', 'ini', 'jangan', 'lupa', 'bahagia'];semangat hari ini jangan lupa bahagia
33;33.0;Jangan biarkan masa lalumu merusak masa depanmu. Lepaskan diri dari belenggu dan bayang2 masa lalu, fokus dengan ma… https://t.co/TvGsBS00Lu;jangan biarkan masa lalumu merusak masa depanmu lepaskan diri dari belenggu dan bayang masa lalu fokus dengan ma cotvgsbslu;['jangan', 'biarkan', 'masa', 'lalumu', 'merusak', 'masa', 'depanmu', 'lepaskan', 'diri', 'dari', 'belenggu', 'dan', 'bayang', 'masa', 'lalu', 'fokus', 'dengan', 'ma', 'cotvgsbslu'];['jangan', 'biarkan', 'masa', 'lalumu', 'merusak', 'masa', 'depanmu', 'lepaskan', 'diri', 'dari', 'belenggu', 'dan', 'bayang', 'masa', 'lalu', 'fokus', 'dengan', 'ma', 'cotvgsbslu'];jangan biarkan masa lalumu merusak masa depanmu lepaskan diri dari belenggu dan bayang masa lalu fokus dengan ma cotvgsbslu
34;34.0;Hari ini aku diingatkan suatu hal: Setiap orang punya kesempatan untuk berubah dan berbenah. Meskipun di masa lalu… https://t.co/gcyG0rQkMp;hari ini aku diingatkan suatu hal setiap orang punya kesempatan untuk berubah dan berbenah meskipun di masa lalu cogcygrqkmp;['hari', 'ini', 'aku', 'diingatkan', 'suatu', 'hal', 'setiap', 'orang', 'punya', 'kesempatan', 'untuk', 'berubah', 'dan', 'berbenah', 'meskipun', 'di', 'masa', 'lalu', 'cogcygrqkmp'];['hari', 'ini', 'aku', 'diingatkan', 'suatu', 'hal', 'setiap', 'orang', 'punya', 'kesempatan', 'untuk', 'berubah', 'dan', 'berbenah', 'meskipun', 'di', 'masa', 'lalu', 'cogcygrqkmp'];hari ini aku diingatkan suatu hal setiap orang punya kesempatan untuk berubah dan berbenah meskipun di masa lalu cogcygrqkmp
35;35.0;@jehianps Blm tau.;jehianps blm tau;['jehianps', 'blm', 'tau'];['jehianps', 'blm', 'tau'];jehianps blm tau
36;36.0;jangan lupa bucin sama diri sendiri;jangan lupa bucin sama diri sendiri;['jangan', 'lupa', 'bucin', 'sama', 'diri', 'sendiri'];['jangan', 'lupa', 'bucin', 'sama', 'diri', 'sendiri'];jangan lupa bucin sama diri sendiri
37;37.0;Melepas panah asmara~ tetoretotettetoretotet https://t.co/TDhQvk6wGC;melepas panah asmara tetoretotettetoretotet cotdhqvkwgc;['melepas', 'panah', 'asmara', 'tetoretotettetoretotet', 'cotdhqvkwgc'];['melepas', 'panah', 'asmara', 'tetoretotettetoretotet', 'cotdhqvkwgc'];melepas panah asmara tetoretotettetoretotet cotdhqvkwgc
38;38.0;TES MATEMATIKA ANAK PRESIDEN! FT. KAESANG https://t.co/OFIYq3FvO8 CUSS NONTON! SERU BGT WKWKWKWK!! https://t.co/ZJp3F7prFS;tes matematika anak presiden ft kaesang coofiyqfvo cuss nonton seru bgt wkwkwkwk cozjpfprfs;['tes', 'matematika', 'anak', 'presiden', 'ft', 'kaesang', 'coofiyqfvo', 'cuss', 'nonton', 'seru', 'bgt', 'wkwkwkwk', 'cozjpfprfs'];['tes', 'matematika', 'anak', 'presiden', 'ft', 'kaesang', 'coofiyqfvo', 'cuss', 'nonton', 'seru', 'bgt', 'wkwkwkwk', 'cozjpfprfs'];tes matematika anak presiden ft kaesang coofiyqfvo cuss nonton seru bgt wkwkwkwk cozjpfprfs
39;39.0;Hari ini jam 18.30 WIB!! TES MATEMATIKA ANAK PRESIDEN JOKOWI (KAESANG)! WKWKW ASLI SERU BANGET 😂 Stay tuned di yout… https://t.co/l0qOUwhKgE;hari ini jam     wib tes matematika anak presiden jokowi kaesang wkwkw asli seru banget stay tuned di yout colqouwhkge;['hari', 'ini', 'jam', 'wib', 'tes', 'matematika', 'anak', 'presiden', 'jokowi', 'kaesang', 'wkwkw', 'asli', 'seru', 'banget', 'stay', 'tuned', 'di', 'yout', 'colqouwhkge'];['hari', 'ini', 'jam', 'wib', 'tes', 'matematika', 'anak', 'presiden', 'jokowi', 'kaesang', 'wkwkw', 'asli', 'seru', 'banget', 'stay', 'tuned', 'di', 'yout', 'colqouwhkge'];hari ini jam wib tes matematika anak presiden jokowi kaesang wkwkw asli seru banget stay tuned di yout colqouwhkge
40;40.0;RT @melloncolliesu: bang.. bahasa apa ini???😭;melloncolliesu bang bahasa apa ini;['melloncolliesu', 'bang', 'bahasa', 'apa', 'ini'];['melloncolliesu', 'bang', 'bahasa', 'apa', 'ini'];melloncolliesu bang bahasa apa ini
41;41.0;RT @jojobaolip: gue bacanya pingsan;jojobaolip gue bacanya pingsan;['jojobaolip', 'gue', 'bacanya', 'pingsan'];['jojobaolip', 'gue', 'bacanya', 'pingsan'];jojobaolip gue bacanya pingsan
42;42.0;RT @dalgonalfiy: kelakuan lu jeromeee😭 JOSS;dalgonalfiy kelakuan lu jeromeee joss;['dalgonalfiy', 'kelakuan', 'lu', 'jeromeee', 'joss'];['dalgonalfiy', 'kelakuan', 'lu', 'jeromeee', 'joss'];dalgonalfiy kelakuan lu jeromeee joss
43;43.0;RT @flowriferous: lu bingung gaksi;flowriferous lu bingung gaksi;['flowriferous', 'lu', 'bingung', 'gaksi'];['flowriferous', 'lu', 'bingung', 'gaksi'];flowriferous lu bingung gaksi
44;44.0;Selamat hari ulang tahun ke-77 Republik Indonesia!! Merdeka!! https://t.co/Vs0OjcXQhC;selamat hari ulang tahun ke   republik indonesia merdeka covsojc;['selamat', 'hari', 'ulang', 'tahun', 'ke', 'republik', 'indonesia', 'merdeka', 'covsojc'];['selamat', 'hari', 'ulang', 'tahun', 'ke', 'republik', 'indonesia', 'merdeka', 'covsojc'];selamat hari ulang tahun ke republik indonesia merdeka covsojc
45;45.0;"2020 reply2an tweet
2022 akhirnya ketemu @kaesangp https://t.co/FYqSgvptJB";  replyan tweet   akhirnya ketemu kaesangp cofyqsgvptjb;['replyan', 'tweet', 'akhirnya', 'ketemu', 'kaesangp', 'cofyqsgvptjb'];['replyan', 'tweet', 'akhirnya', 'ketemu', 'kaesangp', 'cofyqsgvptjb'];replyan tweet akhirnya ketemu kaesangp cofyqsgvptjb
46;46.0;"Tes pengetahuan aktor / aktris Indonesia! Kali ini edisi castnya weTV original series Dikta &amp; Hukum!… https://t.co/UsuoAr2aRE";tes pengetahuan aktor aktris indonesia kali ini edisi castnya wetv original series dikta amp hukum cousuoarare;['tes', 'pengetahuan', 'aktor', 'aktris', 'indonesia', 'kali', 'ini', 'edisi', 'castnya', 'wetv', 'original', 'series', 'dikta', 'amp', 'hukum', 'cousuoarare'];['tes', 'pengetahuan', 'aktor', 'aktris', 'indonesia', 'kali', 'ini', 'edisi', 'castnya', 'wetv', 'original', 'series', 'dikta', 'amp', 'hukum', 'cousuoarare'];tes pengetahuan aktor aktris indonesia kali ini edisi castnya wetv original series dikta amp hukum cousuoarare
47;47.0;Mau pilih yang lebih ribet/lebih berat, tapi yang dihasilkan bikin lebih bahagia, why not? Mau pilih yang lebih sim… https://t.co/DkHyY3P91V;mau pilih yang lebih ribetlebih berat tapi yang dihasilkan bikin lebih bahagia why not mau pilih yang lebih sim codkhyypv;['mau', 'pilih', 'yang', 'lebih', 'ribetlebih', 'berat', 'tapi', 'yang', 'dihasilkan', 'bikin', 'lebih', 'bahagia', 'why', 'not', 'mau', 'pilih', 'yang', 'lebih', 'sim', 'codkhyypv'];['mau', 'pilih', 'yang', 'lebih', 'ribetlebih', 'berat', 'tapi', 'yang', 'dihasilkan', 'bikin', 'lebih', 'bahagia', 'why', 'not', 'mau', 'pilih', 'yang', 'lebih', 'sim', 'codkhyypv'];mau pilih yang lebih ribetlebih berat tapi yang dihasilkan bikin lebih bahagia why not mau pilih yang lebih sim codkhyypv
48;48.0;Semua pilihan tuh pasti ada positif dan negatifnya. Tinggal pilih mana yang paling cocok dan yang bisa bikin diri s… https://t.co/Qz2I9MYUTq;semua pilihan tuh pasti ada positif dan negatifnya tinggal pilih mana yang paling cocok dan yang bisa bikin diri coqzimyutq;['semua', 'pilihan', 'tuh', 'pasti', 'ada', 'positif', 'dan', 'negatifnya', 'tinggal', 'pilih', 'mana', 'yang', 'paling', 'cocok', 'dan', 'yang', 'bisa', 'bikin', 'diri', 'coqzimyutq'];['semua', 'pilihan', 'tuh', 'pasti', 'ada', 'positif', 'dan', 'negatifnya', 'tinggal', 'pilih', 'mana', 'yang', 'paling', 'cocok', 'dan', 'yang', 'bisa', 'bikin', 'diri', 'coqzimyutq'];semua pilihan tuh pasti ada positif dan negatifnya tinggal pilih mana yang paling cocok dan yang bisa bikin diri coqzimyutq
49;49.0;JANGAN LUPA BAHAGIA WOY;jangan lupa bahagia woy;['jangan', 'lupa', 'bahagia', 'woy'];['jangan', 'lupa', 'bahagia', 'woy'];jangan lupa bahagia woy
50;50.0;Meskipun gak galau, denger lagu galau tuh enak bgt;meskipun gak galau denger lagu galau tuh enak bgt;['meskipun', 'gak', 'galau', 'denger', 'lagu', 'galau', 'tuh', 'enak', 'bgt'];['meskipun', 'gak', 'galau', 'denger', 'lagu', 'galau', 'tuh', 'enak', 'bgt'];meskipun gak galau denger lagu galau tuh enak bgt
51;51.0;SEMANGAT WOE;semangat woe;['semangat', 'woe'];['semangat', 'woe'];semangat woe
52;52.0;"telfon &gt; chat";telfon gt chat;['telfon', 'gt', 'chat'];['telfon', 'gt', 'chat'];telfon gt chat
53;53.0;Akhirnya tayangg! TES PENGETAHUAN BOYBAND INDONESIA (UN1TY)! HEBOH DAN RUSUH BANGET WKWKWKWK😂! Cuss nonton!… https://t.co/9goFhjdj1Q;akhirnya tayangg tes pengetahuan boyband indonesia unty heboh dan rusuh banget wkwkwkwk cuss nonton cogofhjdjq;['akhirnya', 'tayangg', 'tes', 'pengetahuan', 'boyband', 'indonesia', 'unty', 'heboh', 'dan', 'rusuh', 'banget', 'wkwkwkwk', 'cuss', 'nonton', 'cogofhjdjq'];['akhirnya', 'tayangg', 'tes', 'pengetahuan', 'boyband', 'indonesia', 'unty', 'heboh', 'dan', 'rusuh', 'banget', 'wkwkwkwk', 'cuss', 'nonton', 'cogofhjdjq'];akhirnya tayangg tes pengetahuan boyband indonesia unty heboh dan rusuh banget wkwkwkwk cuss nonton cogofhjdjq
54;54.0;capek gak si liat berita-berita akhir-akhir ini;capek gak si liat berita berita akhir akhir ini;['capek', 'gak', 'si', 'liat', 'berita', 'berita', 'akhir', 'akhir', 'ini'];['capek', 'gak', 'si', 'liat', 'berita', 'berita', 'akhir', 'akhir', 'ini'];capek gak si liat berita berita akhir akhir ini
55;55.0;"Jenis-jenis ekspresi habis nonton episode pertama Dikta &amp; Hukum😂 Asli campur aduk banget WKWKKW! Yang penasaran, me… https://t.co/nUkkty8qPA";jenis jenis ekspresi habis nonton episode pertama dikta amp hukum asli campur aduk banget wkwkkw yang penasaran me conukktyqpa;['jenis', 'jenis', 'ekspresi', 'habis', 'nonton', 'episode', 'pertama', 'dikta', 'amp', 'hukum', 'asli', 'campur', 'aduk', 'banget', 'wkwkkw', 'yang', 'penasaran', 'me', 'conukktyqpa'];['jenis', 'jenis', 'ekspresi', 'habis', 'nonton', 'episode', 'pertama', 'dikta', 'amp', 'hukum', 'asli', 'campur', 'aduk', 'banget', 'wkwkkw', 'yang', 'penasaran', 'me', 'conukktyqpa'];jenis jenis ekspresi habis nonton episode pertama dikta amp hukum asli campur aduk banget wkwkkw yang penasaran me conukktyqpa
56;56.0;@tokopedia itu baju kuning kok mirip ak;tokopedia itu baju kuning kok mirip ak;['tokopedia', 'itu', 'baju', 'kuning', 'kok', 'mirip', 'ak'];['tokopedia', 'itu', 'baju', 'kuning', 'kok', 'mirip', 'ak'];tokopedia itu baju kuning kok mirip ak
57;57.0;"Gimana hari ini guys!?

Btw kalo lagi butuh hiburan, coba nonton series We TV Original Dikta &amp; Hukum! Kemaren aku u… https://t.co/Y26UTeSTTS";gimana hari ini guys btw kalo lagi butuh hiburan coba nonton series we tv original dikta amp hukum kemaren aku coyutestts;['gimana', 'hari', 'ini', 'guys', 'btw', 'kalo', 'lagi', 'butuh', 'hiburan', 'coba', 'nonton', 'series', 'we', 'tv', 'original', 'dikta', 'amp', 'hukum', 'kemaren', 'aku', 'coyutestts'];['gimana', 'hari', 'ini', 'guys', 'btw', 'kalo', 'lagi', 'butuh', 'hiburan', 'coba', 'nonton', 'series', 'we', 'tv', 'original', 'dikta', 'amp', 'hukum', 'kemaren', 'aku', 'coyutestts'];gimana hari ini guys btw kalo lagi butuh hiburan coba nonton series we tv original dikta amp hukum kemaren aku coyutestts
58;58.0;"Yang penting diblock, yang gak penting malah dibiarin

:)";yang penting diblock yang gak penting malah dibiarin;['yang', 'penting', 'diblock', 'yang', 'gak', 'penting', 'malah', 'dibiarin'];['yang', 'penting', 'diblock', 'yang', 'gak', 'penting', 'malah', 'dibiarin'];yang penting diblock yang gak penting malah dibiarin
59;59.0;Berusahalah untuk selalu berbuat baik kepada orang lain. Karena kita tidak tahu kesulitan apa yang sedang mereka alami.;berusahalah untuk selalu berbuat baik kepada orang lain karena kita tidak tahu kesulitan apa yang sedang mereka alami;['berusahalah', 'untuk', 'selalu', 'berbuat', 'baik', 'kepada', 'orang', 'lain', 'karena', 'kita', 'tidak', 'tahu', 'kesulitan', 'apa', 'yang', 'sedang', 'mereka', 'alami'];['berusahalah', 'untuk', 'selalu', 'berbuat', 'baik', 'kepada', 'orang', 'lain', 'karena', 'kita', 'tidak', 'tahu', 'kesulitan', 'apa', 'yang', 'sedang', 'mereka', 'alami'];berusahalah untuk selalu berbuat baik kepada orang lain karena kita tidak tahu kesulitan apa yang sedang mereka alami
61;61.0;RT @sksksksksksk012: udah lama ga beli @tokomenantea rasanya KAJZIWJANBSKABSKWNAUJWBSIWBSKABAHENSU ENAK BANGET WOIIIIIII😭😭😭 https://t.co/sd…;sksksksksksk udah lama ga beli tokomenantea rasanya kajziwjanbskabskwnaujwbsiwbskabahensu enak banget woiiiiiii cosd;['sksksksksksk', 'udah', 'lama', 'ga', 'beli', 'tokomenantea', 'rasanya', 'kajziwjanbskabskwnaujwbsiwbskabahensu', 'enak', 'banget', 'woiiiiiii', 'cosd'];['sksksksksksk', 'udah', 'lama', 'ga', 'beli', 'tokomenantea', 'rasanya', 'kajziwjanbskabskwnaujwbsiwbskabahensu', 'enak', 'banget', 'woiiiiiii', 'cosd'];sksksksksksk udah lama ga beli tokomenantea rasanya kajziwjanbskabskwnaujwbsiwbskabahensu enak banget woiiiiiii cosd
62;62.0;BATTLE QUIZ PENGETAHUAN: JEROME VS RAJA QUIZ INDONESIA (HELMY YAHYA)! Selamat menonton! https://t.co/cqWpk4wsgb https://t.co/fj6QwvDcgW;battle quiz pengetahuan jerome vs raja quiz indonesia helmy yahya selamat menonton cocqwpkwsgb cofjqwvdcgw;['battle', 'quiz', 'pengetahuan', 'jerome', 'vs', 'raja', 'quiz', 'indonesia', 'helmy', 'yahya', 'selamat', 'menonton', 'cocqwpkwsgb', 'cofjqwvdcgw'];['battle', 'quiz', 'pengetahuan', 'jerome', 'vs', 'raja', 'quiz', 'indonesia', 'helmy', 'yahya', 'selamat', 'menonton', 'cocqwpkwsgb', 'cofjqwvdcgw'];battle quiz pengetahuan jerome vs raja quiz indonesia helmy yahya selamat menonton cocqwpkwsgb cofjqwvdcgw
63;63.0;Hari ini seruuu, ngobrol2 bareng naura~ https://t.co/H7jr33k2xk;hari ini seruuu ngobrol bareng naura cohjrk;['hari', 'ini', 'seruuu', 'ngobrol', 'bareng', 'naura', 'cohjrk'];['hari', 'ini', 'seruuu', 'ngobrol', 'bareng', 'naura', 'cohjrk'];hari ini seruuu ngobrol bareng naura cohjrk
64;64.0;"RT @geraldhiras: NIBATAK MANTAPPU

Tadi malem tidur mimpi kenalan, taunya ketemu beneran pas siang BANG. https://t.co/BVUqMSCmsr";geraldhiras nibatak mantappu tadi malem tidur mimpi kenalan taunya ketemu beneran pas siang bang cobvuqmscmsr;['geraldhiras', 'nibatak', 'mantappu', 'tadi', 'malem', 'tidur', 'mimpi', 'kenalan', 'taunya', 'ketemu', 'beneran', 'pas', 'siang', 'bang', 'cobvuqmscmsr'];['geraldhiras', 'nibatak', 'mantappu', 'tadi', 'malem', 'tidur', 'mimpi', 'kenalan', 'taunya', 'ketemu', 'beneran', 'pas', 'siang', 'bang', 'cobvuqmscmsr'];geraldhiras nibatak mantappu tadi malem tidur mimpi kenalan taunya ketemu beneran pas siang bang cobvuqmscmsr
65;65.0;@nessiejudge kerja di mana kak?;nessiejudge kerja di mana kak;['nessiejudge', 'kerja', 'di', 'mana', 'kak'];['nessiejudge', 'kerja', 'di', 'mana', 'kak'];nessiejudge kerja di mana kak
66;66.0;ngeliat story orang2 kenapa pada banyak banget yang bakal nikah ya wwkwwkk;ngeliat story orang kenapa pada banyak banget yang bakal nikah ya wwkwwkk;['ngeliat', 'story', 'orang', 'kenapa', 'pada', 'banyak', 'banget', 'yang', 'bakal', 'nikah', 'ya', 'wwkwwkk'];['ngeliat', 'story', 'orang', 'kenapa', 'pada', 'banyak', 'banget', 'yang', 'bakal', 'nikah', 'ya', 'wwkwwkk'];ngeliat story orang kenapa pada banyak banget yang bakal nikah ya wwkwwkk
67;67.0;"RT @NASAWebb: 👀 Sneak a peek at the deepest &amp; sharpest infrared image of the early universe ever taken — all in a day’s work for the Webb t…";nasawebb sneak peek at the deepest amp sharpest infrared image of the early universe ever taken all in day work for the webb;['nasawebb', 'sneak', 'peek', 'at', 'the', 'deepest', 'amp', 'sharpest', 'infrared', 'image', 'of', 'the', 'early', 'universe', 'ever', 'taken', 'all', 'in', 'day', 'work', 'for', 'the', 'webb'];['nasawebb', 'sneak', 'peek', 'at', 'the', 'deepest', 'amp', 'sharpest', 'infrared', 'image', 'of', 'the', 'early', 'universe', 'ever', 'taken', 'all', 'in', 'day', 'work', 'for', 'the', 'webb'];nasawebb sneak peek at the deepest amp sharpest infrared image of the early universe ever taken all in day work for the webb
