;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02
82;82.0;RT @jehianps: Kesenangan hari ini: bisa ngirim Menantea ke Menteri Kemenparekraf, Pak Sandiaga Uno🥹 https://t.co/MMf74Twb10;jehianps kesenangan hari ini bisa ngirim menantea ke menteri kemenparekraf pak sandiaga uno commftwb;['jehianps', 'kesenangan', 'hari', 'ini', 'bisa', 'ngirim', 'menantea', 'ke', 'menteri', 'kemenparekraf', 'pak', 'sandiaga', 'uno', 'commftwb'];['jehianps', 'kesenangan', 'hari', 'ini', 'bisa', 'ngirim', 'menantea', 'ke', 'menteri', 'kemenparekraf', 'pak', 'sandiaga', 'uno', 'commftwb'];jehianps kesenangan hari ini bisa ngirim menantea ke menteri kemenparekraf pak sandiaga uno commftwb
83;83.0;"RT @tokomenantea: Yang bisa tebak nama menu ini, minteatwit kirimin Menantea 2 cups🥰

Mintea bakal kirimin buat 5 orang! Cara ikutannya tin…";tokomenantea yang bisa tebak nama menu ini minteatwit kirimin menantea   cups mintea bakal kirimin buat   orang cara ikutannya tin;['tokomenantea', 'yang', 'bisa', 'tebak', 'nama', 'menu', 'ini', 'minteatwit', 'kirimin', 'menantea', 'cups', 'mintea', 'bakal', 'kirimin', 'buat', 'orang', 'cara', 'ikutannya', 'tin'];['tokomenantea', 'yang', 'bisa', 'tebak', 'nama', 'menu', 'ini', 'minteatwit', 'kirimin', 'menantea', 'cups', 'mintea', 'bakal', 'kirimin', 'buat', 'orang', 'cara', 'ikutannya', 'tin'];tokomenantea yang bisa tebak nama menu ini minteatwit kirimin menantea cups mintea bakal kirimin buat orang cara ikutannya tin
84;84.0;Jangan lupa bersyukur dan rayakan hal-hal serta keberhasilan kecil! Find joy in the little things~;jangan lupa bersyukur dan rayakan hal hal serta keberhasilan kecil find joy in the little things;['jangan', 'lupa', 'bersyukur', 'dan', 'rayakan', 'hal', 'hal', 'serta', 'keberhasilan', 'kecil', 'find', 'joy', 'in', 'the', 'little', 'things'];['jangan', 'lupa', 'bersyukur', 'dan', 'rayakan', 'hal', 'hal', 'serta', 'keberhasilan', 'kecil', 'find', 'joy', 'in', 'the', 'little', 'things'];jangan lupa bersyukur dan rayakan hal hal serta keberhasilan kecil find joy in the little things
86;86.0;"Pasti seru poll seeh! Btw, yang mau ketemu aku di kelas offline, bisa ikutan pop up class @primagamaID karna aku &amp;… https://t.co/WKQ1hEHiAW";pasti seru poll seeh btw yang mau ketemu aku di kelas offline bisa ikutan pop up class primagamaid karna aku amp cowkqhehiaw;['pasti', 'seru', 'poll', 'seeh', 'btw', 'yang', 'mau', 'ketemu', 'aku', 'di', 'kelas', 'offline', 'bisa', 'ikutan', 'pop', 'up', 'class', 'primagamaid', 'karna', 'aku', 'amp', 'cowkqhehiaw'];['pasti', 'seru', 'poll', 'seeh', 'btw', 'yang', 'mau', 'ketemu', 'aku', 'di', 'kelas', 'offline', 'bisa', 'ikutan', 'pop', 'up', 'class', 'primagamaid', 'karna', 'aku', 'amp', 'cowkqhehiaw'];pasti seru poll seeh btw yang mau ketemu aku di kelas offline bisa ikutan pop up class primagamaid karna aku amp cowkqhehiaw
87;87.0;WOY kayaknya seru nih kalau aku bikin les/kelas offline buat ngajar di Jakarta minggu depan KWKWKW;woy kayaknya seru nih kalau aku bikin leskelas offline buat ngajar di jakarta minggu depan kwkwkw;['woy', 'kayaknya', 'seru', 'nih', 'kalau', 'aku', 'bikin', 'leskelas', 'offline', 'buat', 'ngajar', 'di', 'jakarta', 'minggu', 'depan', 'kwkwkw'];['woy', 'kayaknya', 'seru', 'nih', 'kalau', 'aku', 'bikin', 'leskelas', 'offline', 'buat', 'ngajar', 'di', 'jakarta', 'minggu', 'depan', 'kwkwkw'];woy kayaknya seru nih kalau aku bikin leskelas offline buat ngajar di jakarta minggu depan kwkwkw
88;88.0;"Kali ini aku yakin Inggit (Kak Prilly) memilih aku guys, menurut kalian gimana? WKWKWKWK😂😂

Nonton di sini ya guys:… https://t.co/1R5aLhhjDp";kali ini aku yakin inggit kak prilly memilih aku guys menurut kalian gimana wkwkwkwk nonton di sini ya guys coralhhjdp;['kali', 'ini', 'aku', 'yakin', 'inggit', 'kak', 'prilly', 'memilih', 'aku', 'guys', 'menurut', 'kalian', 'gimana', 'wkwkwkwk', 'nonton', 'di', 'sini', 'ya', 'guys', 'coralhhjdp'];['kali', 'ini', 'aku', 'yakin', 'inggit', 'kak', 'prilly', 'memilih', 'aku', 'guys', 'menurut', 'kalian', 'gimana', 'wkwkwkwk', 'nonton', 'di', 'sini', 'ya', 'guys', 'coralhhjdp'];kali ini aku yakin inggit kak prilly memilih aku guys menurut kalian gimana wkwkwkwk nonton di sini ya guys coralhhjdp
89;89.0;Selamat buat temen2 yang keterima SBMPTN! Kalian sudah berhasil melewati satu ujian, tapi inget habis gini kalian a… https://t.co/wXJkHLlsP5;selamat buat temen yang keterima sbmptn kalian sudah berhasil melewati satu ujian tapi inget habis gini kalian co;['selamat', 'buat', 'temen', 'yang', 'keterima', 'sbmptn', 'kalian', 'sudah', 'berhasil', 'melewati', 'satu', 'ujian', 'tapi', 'inget', 'habis', 'gini', 'kalian', 'co'];['selamat', 'buat', 'temen', 'yang', 'keterima', 'sbmptn', 'kalian', 'sudah', 'berhasil', 'melewati', 'satu', 'ujian', 'tapi', 'inget', 'habis', 'gini', 'kalian', 'co'];selamat buat temen yang keterima sbmptn kalian sudah berhasil melewati satu ujian tapi inget habis gini kalian co
90;90.0;"x+y = 2
aku tanpa kamu hampa";  aku tanpa kamu hampa;['aku', 'tanpa', 'kamu', 'hampa'];['aku', 'tanpa', 'kamu', 'hampa'];aku tanpa kamu hampa
91;91.0;@jehianps @SMTOWN_Idn waaaaawww;jehianps smtown_idn waaaaawww;['jehianps', 'smtown_idn', 'waaaaawww'];['jehianps', 'smtown_idn', 'waaaaawww'];jehianps smtown_idn waaaaawww
92;92.0;kita pasti punya temen yang kalo vidcall cuma keliatan jidatnya doang wkwkwk;kita pasti punya temen yang kalo vidcall cuma keliatan jidatnya doang wkwkwk;['kita', 'pasti', 'punya', 'temen', 'yang', 'kalo', 'vidcall', 'cuma', 'keliatan', 'jidatnya', 'doang', 'wkwkwk'];['kita', 'pasti', 'punya', 'temen', 'yang', 'kalo', 'vidcall', 'cuma', 'keliatan', 'jidatnya', 'doang', 'wkwkwk'];kita pasti punya temen yang kalo vidcall cuma keliatan jidatnya doang wkwkwk
93;93.0;SEMANGAT HARI INI!!;semangat hari ini;['semangat', 'hari', 'ini'];['semangat', 'hari', 'ini'];semangat hari ini
94;94.0;Ketika kamu sudah berusaha memberikan yang terbaik, tapi gak dihargai... Bahkan gak diliat effortnya... Atau bahkan… https://t.co/CezFgwoJoJ;ketika kamu sudah berusaha memberikan yang terbaik tapi gak dihargai bahkan gak diliat effortnya atau bahkan cocezfgwojoj;['ketika', 'kamu', 'sudah', 'berusaha', 'memberikan', 'yang', 'terbaik', 'tapi', 'gak', 'dihargai', 'bahkan', 'gak', 'diliat', 'effortnya', 'atau', 'bahkan', 'cocezfgwojoj'];['ketika', 'kamu', 'sudah', 'berusaha', 'memberikan', 'yang', 'terbaik', 'tapi', 'gak', 'dihargai', 'bahkan', 'gak', 'diliat', 'effortnya', 'atau', 'bahkan', 'cocezfgwojoj'];ketika kamu sudah berusaha memberikan yang terbaik tapi gak dihargai bahkan gak diliat effortnya atau bahkan cocezfgwojoj
95;95.0;Heran kenapa banyak orang suka ngomongin orang lain seakan dia yang paling tau tentang orang tersebut, padahal cuma… https://t.co/jfTwzMuSTh;heran kenapa banyak orang suka ngomongin orang lain seakan dia yang paling tau tentang orang tersebut padahal cuma cojftwzmusth;['heran', 'kenapa', 'banyak', 'orang', 'suka', 'ngomongin', 'orang', 'lain', 'seakan', 'dia', 'yang', 'paling', 'tau', 'tentang', 'orang', 'tersebut', 'padahal', 'cuma', 'cojftwzmusth'];['heran', 'kenapa', 'banyak', 'orang', 'suka', 'ngomongin', 'orang', 'lain', 'seakan', 'dia', 'yang', 'paling', 'tau', 'tentang', 'orang', 'tersebut', 'padahal', 'cuma', 'cojftwzmusth'];heran kenapa banyak orang suka ngomongin orang lain seakan dia yang paling tau tentang orang tersebut padahal cuma cojftwzmusth
96;96.0;@ViktorAxelsen halo;viktora halo;['viktora', 'halo'];['viktora', 'halo'];viktora halo
97;97.0;viktor pasti takut lawan kucing gemuk;viktor pasti takut lawan kucing gemuk;['viktor', 'pasti', 'takut', 'lawan', 'kucing', 'gemuk'];['viktor', 'pasti', 'takut', 'lawan', 'kucing', 'gemuk'];viktor pasti takut lawan kucing gemuk
98;98.0;Latian buat main lawan viktor axelsen WKWKWKWK https://t.co/FOBG9QPOXY;latian buat main lawan viktor wkwkwkwk cofobgqpo;['latian', 'buat', 'main', 'lawan', 'viktor', 'wkwkwkwk', 'cofobgqpo'];['latian', 'buat', 'main', 'lawan', 'viktor', 'wkwkwkwk', 'cofobgqpo'];latian buat main lawan viktor wkwkwkwk cofobgqpo
99;99.0;SEMANGAT YOKKK JGN LEMES LEMES GITU DONG;semangat yokkk jgn lemes lemes gitu dong;['semangat', 'yokkk', 'jgn', 'lemes', 'lemes', 'gitu', 'dong'];['semangat', 'yokkk', 'jgn', 'lemes', 'lemes', 'gitu', 'dong'];semangat yokkk jgn lemes lemes gitu dong
